VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-01-02T12:56:17.000000,2022-01-02T13:28:04.000000,1.0,19.1,2.0,N,132,141,1,52.0,3.75,0.5,6.31,6.55,0.3,69.41,2.5,1.25
2,2022-01-02T13:10:07.000000,2022-01-02T13:33:16.000000,2.0,9.83,1.0,N,70,239,1,29.0,0.0,0.5,9.71,6.55,0.3,48.56,2.5,0.0
2,2022-01-02T13:21:57.000000,2022-01-02T13:39:30.000000,1.0,4.77,1.0,N,148,236,1,16.5,0.0,0.5,3.96,0.0,0.3,23.76,2.5,0.0
2,2022-01-02T13:37:55.000000,2022-01-02T13:41:47.000000,1.0,1.4,1.0,N,263,141,1,6.0,0.0,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,2022-01-02T13:57:19.000000,2022-01-02T14:25:48.000000,3.0,20.96,2.0,N,132,229,1,52.0,0.0,0.5,11.36,6.55,0.3,74.46,2.5,1.25
2,2022-01-02T14:03:43.000000,2022-01-02T14:10:23.000000,2.0,1.23,1.0,N,234,68,1,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5,0.0
1,2022-01-02T14:06:46.000000,2022-01-02T14:13:04.000000,1.0,1.1,1.0,N,238,142,1,6.5,2.5,0.5,2.45,0.0,0.3,12.25,2.5,0.0
1,2022-01-02T14:09:36.000000,2022-01-02T14:25:41.000000,1.0,1.8,1.0,N,100,233,1,11.0,2.5,0.5,4.0,0.0,0.3,18.3,2.5,0.0
2,2022-01-02T14:09:45.000000,2022-01-02T14:16:01.000000,1.0,1.45,1.0,N,263,141,1,6.5,0.0,0.5,1.0,0.0,0.3,10.8,2.5,0.0
2,2022-01-02T14:34:18.000000,2022-01-02T14:40:02.000000,1.0,0.77,1.0,N,163,43,1,5.5,0.0,0.5,1.0,0.0,0.3,9.8,2.5,0.0
1,2022-01-02T14:53:53.000000,2022-01-02T15:10:56.000000,1.0,2.2,1.0,N,90,48,1,12.0,2.5,0.5,3.8,0.0,0.3,19.1,2.5,0.0
2,2022-01-02T15:19:55.000000,2022-01-02T15:35:52.000000,2.0,2.41,1.0,N,141,100,2,12.0,0.0,0.5,0.0,0.0,0.3,15.3,2.5,0.0
2,2022-01-02T15:27:44.000000,2022-01-02T15:34:49.000000,1.0,0.93,1.0,N,237,161,1,6.5,0.0,0.5,1.0,0.0,0.3,10.8,2.5,0.0
2,2022-01-02T15:29:12.000000,2022-01-03T15:15:07.000000,1.0,9.59,1.0,N,138,141,1,28.5,0.0,0.5,7.92,6.55,0.3,47.52,2.5,1.25
2,2022-01-02T15:36:31.000000,2022-01-02T15:39:14.000000,2.0,0.59,1.0,N,141,237,1,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5,0.0
2,2022-01-02T15:40:23.000000,2022-01-02T15:57:39.000000,2.0,3.07,1.0,N,186,239,1,13.5,0.0,0.5,5.04,0.0,0.3,21.84,2.5,0.0
2,2022-01-02T15:41:04.000000,2022-01-02T15:50:20.000000,1.0,1.78,1.0,N,263,229,1,8.0,0.0,0.5,2.82,0.0,0.3,14.12,2.5,0.0
2,2022-01-02T16:00:06.000000,2022-01-02T16:40:41.000000,1.0,15.4,1.0,N,264,142,1,47.0,0.0,0.5,15.0,6.55,0.3,71.85,2.5,0.0
1,2022-01-02T16:01:23.000000,2022-01-02T16:06:50.000000,3.0,1.0,1.0,N,140,237,1,6.0,2.5,0.5,1.85,0.0,0.3,11.15,2.5,0.0
2,2022-01-02T16:02:58.000000,2022-01-02T16:50:13.000000,1.0,18.52,2.0,N,132,48,2,52.0,0.0,0.5,0.0,6.55,0.3,63.1,2.5,1.25
1,2022-01-02T16:05:33.000000,2022-01-02T16:30:24.000000,3.0,4.0,1.0,N,43,113,1,18.5,2.5,0.5,4.35,0.0,0.3,26.15,2.5,0.0
